Identifiant,Projet,Rapporteur,Assigné à,Priorité,Impact,Reproductibilité,État,Résolution,Catégorie,Date de soumission,Mis à jour,Afficher l’état,Résumé,Description,Temps passé (h)
0019382,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,quelques fois,commentaire,ouvert,Evolution,2020-07-16,2020-08-21,public,Création d'un projet SIGMA et liaison Sharepoint,"Bonjour, voici la demande d'une collaboratrice :

Lors de la création d'un nouveau projet, un dossier sharepoint est créé.
Le nom du dossier est le nom du projet dans sharepoint.
Il arrive que le nom du projet ne soit pas encore définit ou qu'il change en cours de projet.
1/ est-ce possible de procéder à un renomage automatique du dossier sharepoint lors d'un changement de nom du projet dans Sigma

2/ si ce n'est pas possible, peut-on changer le nom du dossier dans sharepoint sans engendrer des problèmes dans le lien du dossier sharepoint/Sigma.

Merci",2
0019525,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,élevée,mineur,S/O,résolu,résolu,Evolution,2020-08-14,2020-08-21,public,Ajout champs Code tiers,"Insertion du Code tiers dans le formulaire de prêt du tiers concerné. cf capture. 

Le but : l'ajout de ce champs permettra au utilisateur d'effectuer une recherche avancée de remboursement + prêt + personne + code tiers .
",3
0019515,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,urgente,majeur,toujours,accepté,résolu,Support,2020-08-11,2020-08-20,public,Passerelle SIGMA / SAGE,"le pret du  tiers Fornas Edouard n'est jamais importé dans SAGE depuis la mise en place de la passerelle. 
RE_provence

Merci de diagnostiquer et de résoudre le problème.",0
0018973,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Evolution,2020-03-25,2020-08-20,public,Evénement : mise en forme (0001219),"""je participe / je ne participe pas"" : grossir la police de 2 corps + mettre en gras",1
0018975,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Support,2020-03-25,2020-08-20,public,Création liaison sharepoint sigma nouvelle asso (0001308),"Bonjour Zakaria,

Peux-tu créer la liaison entre sigma et sharepoint pour la nouvelle association Réseau Entreprendre Sarthe stp ? J'ai déjà créé la division etc.

Bien à toi,

Louis",0
0018938,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Evolution,2020-03-20,2020-08-20,public,Insertion lien ics dans emails invitation (0001260),Le club utilisateurs a validé la demande suivante : Ajouter un lien ics pour permettre aux destinataires de bien enregistrer dans leur agenda les événements auxquels nous les invitons,4.5
0018940,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Evolution,2020-03-20,2020-08-20,public,choix de l'email expéditeur des invitations événements (0001279),"Les utilisateurs souhaitent pouvoir mettre en expéditeur un autre email que celui de l'utilisateur qui a créé l'événement et l'invitation. Exemples : envoi avec l'email du directeur, du président, l'adresse générique de l'association",0
0018941,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,élevée,critique,n'a pas essayé,accepté,résolu,Support,2020-03-20,2020-08-20,public,Problème avec la date de début d'échéancier (0001173),"Bonjour,

Une utilisatrice a relevé un bug sur les échéanciers. Lorsqu'elle prépare ses nouveaux dossiers, elle va rentrer la date prévue de 1er versement dans SIGMA, cette date est toujours la même que la date réelle. Cependant, une fois le versement réalisé (et les conventions signées par ailleurs) et qu'elle vient renseigner la date réelle de versement, la date de début de remboursement se décale d'un mois alors que c'est la même que celle prévue... J'ai réussi à reproduire le bug en recette également.
C'est très gênant pour elle (sûrement pour d'autres également) car elle fait signer ses conventions avec une date de début de remboursement qui change.

Cordialement,

Louis",0
0018942,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Evolution,2020-03-20,2020-08-20,public,Menu rôle de sécurité Permanent Fédération (0001252),"Bonjour Zakaria,

Le menu sur le rôle de sécurité permanent fédération, n'est pas complet. Peux-tu le mettre identique à celui des permanents asso stp ?
Aussi, il faudrait que sur ce rôle de sécurité (fédération), les utilisateurs puissent avoir accès à toutes les données dans sigma (prêts, adhésions, etc.)

Merci d'avance,

Louis",0
0018943,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Support,2020-03-20,2020-08-20,public,Problème sur une vue (0001254),"Bonjour Zakaria,

Une utilisatrice m'a rapporté ce problème :
""Je rencontre une problème de résultat en créant une vue personnalisé partir du suivi des adhésions, en effectuant exactement la même recherche je ne trouve pas les mêmes donnés que mes collègues.

en exemple ci-joint, la recherche avancé créer à partir de mon compte : Suivi des adhésion - créer une vue personnalisée - recherche d'adhésions - à partir de la vue [nouveau]
Date de début LE 01-01-18 - Date de fin LE 31-12-18
Puis, en cliquant sur résultat, je ne trouve que 22 enregistrements.

En passant par le compte de ma collègue Natacha COURAGE, En effectuant la même manipulation (captures ci-joint ) nous trouvons 149 résultats.
le résultat de Natacha est juste, contrairement au mien.

Peu-être qu'un détail nous a échappé, ou bien y a t'il un problème avec mon compte ? ""

J'ai cherché mais je ne vois pas de problème ni sur sa vue, ni sur son compte ... Ci-joint les captures d'écran qu'elle m'a envoyé avec sa demande.

Bien à toi,

Louis",0
0019526,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,affecté,ouvert,Support,2020-08-14,2020-08-17,public,Questions champs dans SIGMA,"Bonjour,

Une collaboratrice nous a posé la question suivante :

Pouvez-vous nous dire ce qui peut engendrer la modification des champs :
- 1ère Promotion sur une fiche personne à côté de Lauréat.
Je pense que cette date ce met en place lorsque nous cochons la case Lauréat, est-ce que les associations peuvent modifier cette date ?

- Informations Date d'entrée / Date de sortie d'un membre.
Cette collaboratrice s'étonne d'avoir des dates d'entrée et date de sortie, savez d'où ça provient ?

J'ai rajouté des captures en pièce jointe.

Merci





",
0019523,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,affecté,ouvert,Support,2020-08-13,2020-08-17,public,Problème de droits entre les associations,"Bonjour,

Voici le retour d'une collaboratrice :

Nous constatons qu'il est possible de modifier les personnes (mails, téléphones,…) des autres associations donc de personnes non rattachées à notre association.

De plus, lorsque nous créons une nouvelle personne les doublons détectés sont ceux de toutes les associations, si nous fusionnons alors nous modifions le contact de l'autre association.
Est-ce normal? Si oui, il me semble important de rappeler ce fait à toutes les associations pour que nous soyons tous trés trés vigilants.
",
0018979,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,commentaire,réouvert,Evolution,2020-03-25,2020-08-14,public,"création sous-statut ""ancien membre"" (0001311)","Hello Zakaria,

Peux-tu ajouter un statut ""Ancien Membre"" ? Il faudrait pour ces personnes pouvoir les filtrer (sous-statut ""ancien membre"") et ne pas les voir apparaître en filtrant sur les autres types de membres.

Pour les anciens membres, il faudrait que la grille date d'entrée/date de sortie reste visible pour eux, pour que l'asso puisse conserver l'historique de la relation avec ce membre.

Merci !
Audrey",4
0019240,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,résolu,résolu,Evolution,2020-06-12,2020-08-12,public,Sauvegarde impossible de changement d'accompagnateurs référents sur Sigma,"Bonjour,

   Un collaborateur ne parvient pas à modifier ou retirer l'accompagnateur référent d'un projet.
Par exemple : Le projet FAUVE Craft Bière

Après enregistrement, il y a un message d'erreur que j'ai mis en pièce jointe.
Nous avons vérifier ses droits(rôles + Division).
Egalement côté attribution de la ressource projet.

L'utilisateur en question est Ludovic GIRODON

Merci pour votre retour

Bien cordialement,

LEMOINE François",5
0019307,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,résolu,résolu,Support,2020-06-30,2020-08-12,public,Ajouter une personne à un projet en tant que Lauréat,"Bonjour,

  Une collaboratrice est bloquée sur l'ajout de M. CURUTCHET Jean-Bernard en tant que Lauréat dans le projet Attila. Elle rencontre le message d'erreur que vous trouverez en pièce jointe.

Merci pour votre retour",2
0019319,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,élevée,mineur,quelques fois,résolu,résolu,Support,2020-07-03,2020-08-12,public,Ajout d'une personne en tant que Lauréat dans un projet,"Bonjour, une collaboratrice se retrouve bloqué avec un message d'erreur lorsqu'elle tente d'ajouter une personne en tant que lauréat dans un projet ( partie droite en dessous de Porteurs du projet ).

Projet : ATTILA
Personne : CURUTCHET Jean-Bernard

J'ai tenté de comparer sur d'autre projet et j'ai remarqué que c'était possible.
La seule chose que j'ai constaté c'est l'acc référent qui était différent sur les autres projets.

Voici le message d'erreur rencontré : 
ID d'activité : d77c1bba-f960-4b06-86b1-8b179f45731e
Horodatage : Fri Jul 03 2020 11:32:34 GMT+0200 (heure d’été d’Europe centrale)

J'ai rajouté également le fichier d'erreur !

Merci pour votre aide.
 ",2
0019214,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,accepté,résolu,Support,2020-06-08,2020-08-12,public,Mail envoyé dans SIGMA apparaissent dans les messages envoyés d'outlook,"Bonjour,

    M. Olivier DECLERCK nous a remonté que depuis mai, les mails envoyés depuis SIGMA était également présent dans le dossier des mails envoyés sur le client Outlook. Je pensais qu'il s'agissait d'un fonctionnement normalement mais apparemment ça ne le faisait pas avant.
Savez-vous si il est possible de bloquer ce mode de fonctionnement pour une personne ?

Merci d'avance pour votre retour,

Bien cordialement,

LEMOINE François",2
0019302,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,aléatoire,affecté,réouvert,Support,2020-06-29,2020-08-12,public,Problème de création d'adhésion,"Bonjour,

  J'ai une utilisatrice qui rencontre régulièrement un message d'erreur lors de la création d'une adhésion ( voir pièce jointe ). Savez vous pourquoi et comment pouvons nous solutionner le soucis ?

Merci pour votre retour.",2
0018980,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,résolu,résolu,Support,2020-03-25,2020-08-11,public,Abandon de côtisation ne fait plus perdre le statut Membre (0001294),"Hello Zakaria,

Quand on abandonne une côtisation, la Personne ne perd plus automatiquement son statut Membre: la case statut reste bleutée, seul le texte (membre actif) disparaît.

Testé avec RE Rhône sur MENOU frédéric et MARCADE paul.
Testé sur une fiche lambda: l'abandon de côtisation fonctionne et le statut Membre disparaît.

Pourrais-tu jeter un oeil s'il te plaît ?

Merci :)
Audrey",3.5
0019126,C2S - RESEAU ENTREPRENDRE,FCHABBI,nchatainier,élevée,majeur,n'a pas essayé,résolu,résolu,Evolution,2020-05-05,2020-08-11,public,Désactivation d'un projet,"Lors d’une liquidation judiciaire ou d’une cessation d’activité, il est important de pouvoir désactiver un projet parce qu’il n’est plus actif. Toutefois, la détermination de  la cause de l’arrêt est tout aussi important pour les statistiques de pérennité des entreprises. 

Aussi, pourriez-vous rajouter dans les options de désactivation du projet les options suivantes : 

-	Cessation d’activité 
-	Liquidation judiciaire 

Voici les choix possibles à ce jour pour désactiver un projet  : 
-	Apport insuffisant 
-	Choix d’un autre accompagnement 
-	Intérêt unique pour le prêt 
-	Perspective d’emplois créés/ maintenus 
-	N’est pas actionnaire majoritaire 
-	Zone géographique 
-	Type d’activité 
-	Stade de l’idée 
-	CA insuffisant 
-	Nb d’emplois insuffisant 
-	Arrêt de l’étude 
-	Avis défavorable CE 
-	Abandon des candidats 
-	Accompagnement individuel et ou collectif terminé 
-	Exclusion 
-	Convention / prêt d’honneur sans objet 
-	Créé par erreur 
",2
0019399,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,affecté,ouvert,Support,2020-07-21,2020-08-07,public,Excédent début période : Cellule Bloquée,"Bonjour, voici le besoin rencontré :

Dans un projet :
Besoin d'avoir ce champ libre si jamais une entreprise a déjà eu 1 année d'exercice. ( Solde trésorerie ).

Quelles sont les conditions pour que ce champ soit accessible normalement ?

Merci pour votre retour.
",
0019333,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,commentaire,ouvert,Support,2020-07-07,2020-08-07,public,Erreur lors du lancement de l'analyse de risque LCB-FT sur un projet,"Bonjour,
Sur le projet ""LES FRUITS DÉTENDUS"" lors du lancement de l'analyse de risque (en phase 2) nous obtenons des messages d'erreur bien que les dossiers Sharepoint soient bien créés et accessibles. Généralement cela est du aux caractères spéciaux dans les noms des projets mais en renommant le projet et en exécutant le Workflow on ne voit pas apparaître de nouveau dossier Sharepoint.
Est-il possible de supprimer les liens existant dans Sigma vers Sharepoint pour un projet afin de le renommer ensuite et d'exécuter à nouveau le workflow de création de dossier Sharepoint ? existe-il une autre solution pour exécuter le risque sur ce projet ?
En pièce jointe les captures d'écran du message d'erreur qui apparaît lors de l'exécution de l'analyse du risque.
Merci par avance pour votre retour.",1
0019514,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,commentaire,ouvert,Support,2020-08-06,2020-08-07,public,Modification des événements – Mis à jour non automatique,"Dossier 137460

Mail de suivi : fmuet@reseau-entreprendre.org

Priorité : moyenne

Sujet de la demande : Modification des événements – Mis à jour non automatique

Details de la demande : Bonjour,

Lorsque nous modifions un événement (ex : la participation ou la durée) les mises à jour ne se font pas automatiquement.

Pour la participation, nous devons depuis la fiche projet actualiser les cellules de comptage en haut à droite de la fiche projet.
Pour le suivi des heures, en cas de modification de la durée de l'événement nous devons aller dans la base suivi des heures de bénévolat pour modifier à la main le nombre d'heure de bénévolat pour chaque personne



cordialement,",
0019512,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,majeur,toujours,affecté,ouvert,Support,2020-08-06,2020-08-07,public,Sigma ne fait pas le lien entre un événement et un projet,"
Dossier 137457

Type de demande :Demande de service Fanny MUET

Mail de suivi : fmuet@reseau-entreprendre.org

Priorité : moyenne

Sujet de la demande : Lien projet – événement

Détails de la demande : Bonjour,

Nous constatons que dans la base ""suivi des heures de bénévolat"" Sigma ne fait pas le lien entre un événement et un projet. Notamment pour les comités. Nous créons un événement ""comité du projet X"", dans la fiche projet du porjetX nous relions l'événement au projet mais ensuite dans la base suivi des heures de bénévolat la participation à l'événement n'est pas rattachée à un projet.

si mon mail n'est pas clair vous pouvez m'appeler au 06 64 66 32 52, je serai en congé du 6 Août au 17 Août donc merci de m'appeler avant ou après ces dates",
0019504,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Support,2020-08-06,2020-08-06,public,Call point de situation 05/08/2020,Call point de situation 05/08/2020,2
0019026,C2S - RESEAU ENTREPRENDRE,LHAMMEL,nchatainier,basse,cosmétique,toujours,commentaire,ouvert,Support,2020-04-06,2020-08-05,public,Problème d'affiche sur la recherche avancée [pas urgent],"Bonjour Nathalie, 

Depuis quelques temps j'ai un problème d'affiche sur la recherche avancée, impossible de retrouver l'affichage normal. Sais-tu comment je peux le retrouver ? Ce n'est pas urgent, j'arrive quand même à l'utiliser mais pas très pratique donc à voir quand il y a du temps :)

Louis",
0019106,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Support,2020-04-24,2020-07-28,public,Call Besoin Outlook-SIGMA,Call Besoin Outlook-SIGMA avec Sophie BARRA DUPRESSOIR,1
0019140,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Support,2020-05-12,2020-07-28,public,"Call Point sur Environnements (bac sa sable, recette)","Call Point sur Environnements (bac sa sable, recette) avec Faten",0.5
0019205,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,accepté,résolu,Support,2020-06-03,2020-07-28,public,Majuscule sur le prénom,"Bonjour,

   Une utilisatrice nous a remonté un soucis que nous ne parvenons pas à résoudre pour la personne : CAMPS Jean-Michel dans SIGMA.
Il est impossible de rajouter une majuscule sur son prénom composé (M de Michel)

Merci pour votre retour,

Bien cordialement,

LEMOINE François",2
0019197,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,S/O,accepté,résolu,Support,2020-05-29,2020-07-28,public,Résoudre les doublons,"Bonjour,

   Je me permet de vous contacter pour savoir comment gérer au mieux les doublons ? Est-ce qu'il existe une manipulation simple permettant de supprimer les doublons et rassembler toutes les informations dans une personne ?

Merci d'avance pour votre retour,

Bien cordialement,

LEMOINE François",2
0019136,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,urgente,mineur,toujours,accepté,résolu,Evolution,2020-05-11,2020-07-28,public,Date à modifier dans un Modèle,"Bonjour, nous avons reçu une demande concernant la suppression de la date présente en pied de page du modèle : E90-15-Echeancier PH-180122 SIGMA.docx

Vous trouverez en pièce jointe la capture du pied de page.

N'hésitez pas à revenir vers moi pour plus d'information.",5
0019225,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,urgente,majeur,toujours,accepté,résolu,Support,2020-06-10,2020-07-28,public,Pas d'envoi d'email depuis les événements dans SIGMA,"Bonjour,

Seuls les emails de test partent depûis hier dans les événements Sigma, les emails d'invitation (invités) ne partent plus.

Merci pour votre aide.

Cordialement.

Claude BEGGIATO",2.5
0019316,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,résolu,résolu,Support,2020-07-02,2020-07-27,public,Problème Génération 01_Note du comité d'engagement,Une collaboratrice viens de sortir un autre document word (note de comité) sur un projet (PIERRE D’OPALE) le prêt CT n’apparait plus ! Le plan de financement faux. C’est un élément essentiel et contractuel de la décision du Comité d’Engagement.,1.5
0019412,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,commentaire,ouvert,Evolution,2020-07-23,2020-07-27,public,Recherche dans une vue,"Bonjour,

Plusieurs personnes ont remonté le soucis suivant :

Lorsqu'une recherche est effectuée par exemple dans le menu personne. Si une vue est sélectionnée au préalable, elle n'est plus prise en compte après utilisation de la recherche.

J'ai fais également le test avec une vue projet inactif que vous trouverez en pièce jointe.

Est-ce qu'il est possible de lier la recherche à la vue ?

Merci pour votre retour.

LEMOINE François

",
0019130,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,élevée,mineur,toujours,résolu,résolu,Support,2020-05-07,2020-06-26,public,Problème d'affichage Sandbox Recette SIGMA,"Bonjour, Dominique DA SILVA et Juliette Ronfard rencontrent des soucis d'accès à l'environnement de recette SIGMA.
En effet, en utilisant le lien cité en dessous, l'interface n'est pas complète, aucun moyen d'accéder aux menus etc.. 
Nous avons testé en navigation privée avec un autre compte et ça fonctionne normalement.

J'ai regardé dans la partie console d'administration, et il est précisé qu'aucun n'accès particulier n'a été mis en place, tout le monde peut y accéder.



",2.5
0019291,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,affecté,ouvert,Evolution,2020-06-26,2020-06-26,public,Déclenchement du statut membre lorsqu'un don est saisi,"Bonjour,
Nous avons été contacté par Mme Alix DUNOYER du RE Nord (adunoyer@reseau-entreprendre.org) qui a constaté que depuis l'ajout du statut membre donateur dans Sigma, lorsqu'un don est saisi pour une personne, le statut de cette personne ne passe pas automatiquement sur ""membre donateur"".
Merci par avance pour votre aide concernant cette demande.
Bonne journée,
--
Claude BEGGIATO",
0018955,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,affecté,ouvert,Evolution,2020-03-24,2020-06-25,public,modification / personnalisation des emails automatiques SIGMA (0001157),"Est-il possible de créer nous-mêmes des modèles mails qui sont envoyés automatiquement par SIGMA lors d'une mise en relation (accompagnement AMONT)?
Le mail ne convient pas à tous les utilisateurs. Est-il possible d'avoir une base de mails type pré enregistrés, réalisé par l'utilisateur, pour ces actions",0.25
0018956,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,affecté,ouvert,Evolution,2020-03-24,2020-06-25,public,architecture dossiers SharePoint SIGMA (0001156),"Est-il possible de changer / personnaliser la nomenclature des dossiers SharePoint créés automatiquement par SIGMA ?
Si cela n'est pas possible, est-il seulement possible de créer un dossier intermédiaire dans projet afin que les dossiers ""projet"" soient trié par année ? Voir par permanent en plus pour les plus grosses assoc' ?
La demande est issue d'un utilisateur qui s'exerce à n'utiliser que SIGMA dans l'accompagnement AMONT & AVAL : il crée à partir d'outook le projet et la personne, ce qui génère un dossier (projet) automatiquement sur son ordi, avec sharepoint, la synchro se fait assez bien, et il n'a plus qu'à suivre les étapes de suivi comme il se doit apres...",2
0019070,C2S - RESEAU ENTREPRENDRE,FCHABBI,nchatainier,élevée,majeur,n'a pas essayé,commentaire,ouvert,Support,2020-04-21,2020-06-25,public,Accès Implantation Sigma pour Walloni,"En exportant les fichiers personnes dans Sigma pour Wallonie, on ne peut pas affecter les implantations pour les divers utilisateurs. Les DT sont bloqués.
L'accès est fermé pour attribuer les implantations pour la Wallonie
",0.25
0019131,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,affecté,ouvert,Evolution,2020-05-07,2020-06-25,public,Création d'une nouvelle personne dans SIGMA,"Bonjour, nous avons reçu une demande de Dominique Da Silva concernant le champ par défaut ""Pays"" lors de la création d'une personne.

Est-il possible de retirer ça ? Dans le meilleur des cas, je pense qu'ils souhaiteraient avoir le champ par défaut lié au profil qui créer la nouvelle personne.

Merci pour votre retour

Cordialement

François",
